表2 2019年2月7天的功率预测结果,,,,,
起报时间,预报时间,实际功率(MW),问题二LSTM方法预测功率(MW),问题三未降尺度LSTM+XGBoost方法预测功率(MW),问题四降尺度LSTM+XGBoost方法预测功率(MW)
2019/02/22/00:00,2019/02/23/00:00,0,0.38,0.09,0
2019/02/22/00:00,2019/02/23/00:15,0,0.47,0.09,0.45
2019/02/22/00:00,2019/02/23/00:30,0,0.56,0.09,0.35
2019/02/22/00:00,2019/02/23/00:45,0,0.66,0.09,0.35
2019/02/22/00:00,2019/02/23/01:00,0,0.76,0.06,0.4
2019/02/22/00:00,2019/02/23/01:15,0,0.87,0.06,0.4
2019/02/22/00:00,2019/02/23/01:30,0,0.98,0.06,0.4
2019/02/22/00:00,2019/02/23/01:45,0,1.1,0.06,0.5
2019/02/22/00:00,2019/02/23/02:00,0,1.23,0.06,0.53
2019/02/22/00:00,2019/02/23/02:15,0,1.37,0.06,0.55
2019/02/22/00:00,2019/02/23/02:30,0,1.52,0.06,0.43
2019/02/22/00:00,2019/02/23/02:45,0,1.67,0.09,0.43
2019/02/22/00:00,2019/02/23/03:00,0,1.85,0.09,0.38
2019/02/22/00:00,2019/02/23/03:15,0,2.03,0.09,0.38
2019/02/22/00:00,2019/02/23/03:30,0,2.22,0.09,0.38
2019/02/22/00:00,2019/02/23/03:45,0,2.43,0.09,0.38
2019/02/22/00:00,2019/02/23/04:00,0,2.64,0.09,0.41
2019/02/22/00:00,2019/02/23/04:15,0,2.86,0.89,0.43
2019/02/22/00:00,2019/02/23/04:30,0,3.1,1.05,0.56
2019/02/22/00:00,2019/02/23/04:45,0,3.34,1.05,0.61
2019/02/22/00:00,2019/02/23/05:00,0,3.58,1.05,0.69
2019/02/22/00:00,2019/02/23/05:15,0,3.83,0.78,1.34
2019/02/22/00:00,2019/02/23/05:30,0,4.08,6.26,3.62
2019/02/22/00:00,2019/02/23/05:45,0,4.33,10.81,3.31
2019/02/22/00:00,2019/02/23/06:00,16,4.57,16.78,3.31
2019/02/22/00:00,2019/02/23/06:15,24,25.87,26.54,26.51
2019/02/22/00:00,2019/02/23/06:30,32,38.29,35.25,33.85
2019/02/22/00:00,2019/02/23/06:45,40,46.1,40.9,46.31
2019/02/22/00:00,2019/02/23/07:00,44,53.04,49.46,55.33
2019/02/22/00:00,2019/02/23/07:15,48,54.89,67.75,56.76
2019/02/22/00:00,2019/02/23/07:30,52,57.08,83.8,54.21
2019/02/22/00:00,2019/02/23/07:45,56,60.53,99.04,58.53
2019/02/22/00:00,2019/02/23/08:00,60,64.59,117.43,61.58
2019/02/22/00:00,2019/02/23/08:15,64,68.74,124.22,65.71
2019/02/22/00:00,2019/02/23/08:30,68,72.81,140.48,71.03
2019/02/22/00:00,2019/02/23/08:45,72,76.8,149.2,75.81
2019/02/22/00:00,2019/02/23/09:00,84,80.74,159.63,81.45
2019/02/22/00:00,2019/02/23/09:15,96,96.25,193.96,94.03
2019/02/22/00:00,2019/02/23/09:30,104,110.92,221.59,112.2
2019/02/22/00:00,2019/02/23/09:45,116,117.23,238.7,121.37
2019/02/22/00:00,2019/02/23/10:00,124,128.98,258.49,130.86
2019/02/22/00:00,2019/02/23/10:15,128,135.44,284.01,141.48
2019/02/22/00:00,2019/02/23/10:30,136,135.81,312.34,138.02
2019/02/22/00:00,2019/02/23/10:45,144,143.58,336.6,142.22
2019/02/22/00:00,2019/02/23/11:00,152,152.21,365.87,153.56
2019/02/22/00:00,2019/02/23/11:15,156,159.95,352.3,163.24
2019/02/22/00:00,2019/02/23/11:30,160,161.46,327.75,166.49
2019/02/22/00:00,2019/02/23/11:45,168,163.53,332.67,169.44
2019/02/22/00:00,2019/02/23/12:00,172,172.49,340.98,174.72
2019/02/22/00:00,2019/02/23/12:15,176,175.4,326.71,184.39
2019/02/22/00:00,2019/02/23/12:30,176,177.67,315.12,184.17
2019/02/22/00:00,2019/02/23/12:45,180,175.04,312.86,182.11
2019/02/22/00:00,2019/02/23/13:00,180,178.76,305.58,180.13
2019/02/22/00:00,2019/02/23/13:15,176,177.62,296.61,183.07
2019/02/22/00:00,2019/02/23/13:30,176,170.62,274.21,175.81
2019/02/22/00:00,2019/02/23/13:45,172,170.05,256.37,169.96
2019/02/22/00:00,2019/02/23/14:00,160,165.23,248.59,171.41
2019/02/22/00:00,2019/02/23/14:15,148,149.43,217.63,153.78
2019/02/22/00:00,2019/02/23/14:30,136,134.52,180.33,133.77
2019/02/22/00:00,2019/02/23/14:45,124,121.88,155.7,124.42
2019/02/22/00:00,2019/02/23/15:00,108,110.2,134.08,111.69
2019/02/22/00:00,2019/02/23/15:15,88,93.67,110.11,95.52
2019/02/22/00:00,2019/02/23/15:30,72,71.98,84.36,72.6
2019/02/22/00:00,2019/02/23/15:45,56,55.72,61.32,51.29
2019/02/22/00:00,2019/02/23/16:00,44,41.14,38.66,42.77
2019/02/22/00:00,2019/02/23/16:15,36,31.22,30.93,33.13
2019/02/22/00:00,2019/02/23/16:30,24,26.15,20.98,25.53
2019/02/22/00:00,2019/02/23/16:45,12,16.13,16.64,18.79
2019/02/22/00:00,2019/02/23/17:00,12,4.18,3.88,4.03
2019/02/22/00:00,2019/02/23/17:15,12,5.61,6.88,3.53
2019/02/22/00:00,2019/02/23/17:30,8,9.6,5.48,10.48
2019/02/22/00:00,2019/02/23/17:45,8,7.59,6.96,8.85
2019/02/22/00:00,2019/02/23/18:00,0,7.45,7.76,6.55
2019/02/22/00:00,2019/02/23/18:15,0,-1.06,1.37,2.09
2019/02/22/00:00,2019/02/23/18:30,0,-2.53,0.68,0.05
2019/02/22/00:00,2019/02/23/18:45,0,-1.4,0.06,0.4
2019/02/22/00:00,2019/02/23/19:00,0,-0.17,0.06,0.4
2019/02/22/00:00,2019/02/23/19:15,0,0.4,0.14,0.49
2019/02/22/00:00,2019/02/23/19:30,0,0.46,0.09,0.14
2019/02/22/00:00,2019/02/23/19:45,0,0.31,0.09,0.2
2019/02/22/00:00,2019/02/23/20:00,0,0.16,0.06,0.2
2019/02/22/00:00,2019/02/23/20:15,0,0.06,0.09,0.06
2019/02/22/00:00,2019/02/23/20:30,0,0.01,0.09,0.07
2019/02/22/00:00,2019/02/23/20:45,0,-0.01,0.09,0.02
2019/02/22/00:00,2019/02/23/21:00,0,-0.03,0.09,0.02
2019/02/22/00:00,2019/02/23/21:15,0,-0.04,0.09,0.02
2019/02/22/00:00,2019/02/23/21:30,0,-0.04,0.09,0.02
2019/02/22/00:00,2019/02/23/21:45,0,-0.03,0.06,0.02
2019/02/22/00:00,2019/02/23/22:00,0,-0.02,0.06,0.02
2019/02/22/00:00,2019/02/23/22:15,0,0,0.06,0.04
2019/02/22/00:00,2019/02/23/22:30,0,0.04,0.06,0.08
2019/02/22/00:00,2019/02/23/22:45,0,0.08,0.06,0.12
2019/02/22/00:00,2019/02/23/23:00,0,0.13,0.06,0.12
2019/02/22/00:00,2019/02/23/23:15,0,0.18,0.06,0.12
2019/02/22/00:00,2019/02/23/23:30,0,0.23,0.09,0.09
2019/02/22/00:00,2019/02/23/23:45,0,0.29,0.09,0.09
2019/02/23/00:00,2019/02/24/00:00,0,0.35,0.09,0.15
2019/02/23/00:00,2019/02/24/00:15,0,0.42,0.09,0.15
2019/02/23/00:00,2019/02/24/00:30,0,0.48,0.09,0.14
2019/02/23/00:00,2019/02/24/00:45,0,0.55,0.09,0.12
2019/02/23/00:00,2019/02/24/01:00,0,0.62,0.09,0.12
2019/02/23/00:00,2019/02/24/01:15,0,0.7,0.06,0.14
2019/02/23/00:00,2019/02/24/01:30,0,0.77,0.06,0.14
2019/02/23/00:00,2019/02/24/01:45,0,0.86,0.06,0.14
2019/02/23/00:00,2019/02/24/02:00,0,0.94,0.06,0.19
2019/02/23/00:00,2019/02/24/02:15,0,1.03,0.06,0.07
2019/02/23/00:00,2019/02/24/02:30,0,1.13,0.06,0.07
2019/02/23/00:00,2019/02/24/02:45,0,1.23,0.09,0.07
2019/02/23/00:00,2019/02/24/03:00,0,1.34,0.09,0.02
